title,rating,nigth_cost,date,details
"Uusikaupunki, Finland",4.95,$304,May 22 – 28,"8,000 square meters"
"El Nido, Philippines",4.95,$762,May 31 – Jun 5,9.5 hectares
"Ntungamo, Uganda",4.71,$49,May 19 – 25,"4,000 square meters"
"Anambas, Indonesia",5,$96,May 20 – 27,6.5 hectares
"Kalayaan, Philippines",5,$143,May 20 – 25,"3,428 kilometers away"
"Jinja, Uganda",5,$150,May 20 – 25,3.3 hectares
"Pulau Seribu, Jakarta, Indonesia",4.85,$117,May 21 – 28,"3,710 kilometers away"
"Matak, Indonesia",4.98,$101,May 20 – 25,7 hectares
"Munroe Island, India",5,$256,May 21 – 26,"8,000 square meters"
"Kaskinen, Finland",4.83,$166,May 22 – 27,"6,619 kilometers away"
"Kalix, Sweden",New,"$1,085 ",May 26 – 31,"4,000 square meters"
"Malé, Maldives",5,"$1,125 ",May 20 – 27,"2,831 kilometers away"
"Malé, Maldives",4.96,$791,May 21 – 26,"2,830 kilometers away"
"Priedkalne, Latvia",5,$190,May 20 – 25,"6,380 kilometers away"
"Coron, Philippines",5,$268,Jun 2 – 7,"3,397 kilometers away"
"Malé, Maldives",4.98,"$1,133 ",May 21 – 28,"2,830 kilometers away"
"Malé, Maldives",5,$636,May 21 – 26,"2,830 kilometers away"
"Kimito island municipality, Finland",4.88,"$2,959 ",May 19 – 24,1.9 hectares
"Pulau Perhentian Besar , Malaysia",5,$360,Jun 11 – 16,950 hectares
"Kitee, Finland",4.97,$68,Sep 9 – 15,"9,000 square meters"
"Liperi, Finland",5,$111,May 21 – 27,14 hectares
"Vourvourou, Greece",4.75,$242,Jul 9 – 14,"6,397 kilometers away"
"East Siantan, Indonesia",5,$113,May 20 – 25,"2,854 kilometers away"
"Matak, Indonesia",5,$101,May 20 – 26,7 hectares
"Lumban, Philippines",5,$282,May 21 – 26,"3,423 kilometers away"
"Gunung Kijang, Indonesia",5,"$2,544 ",May 20 – 25,"2,952 kilometers away"
"Turku, Finland",4.8,$247,Jun 5 – 10,1.2 hectares
"Lumban, Philippines",5,$715,May 21 – 26,"3,428 kilometers away"
"Praslin, Seychelles",5,$222,Jul 1 – 8,"7,000 square meters"
"Sulkava, Finland",4.9,$187,May 21 – 26,"6,229 kilometers away"
"Coron, Philippines",4.84,$343,May 22 – 27,"3,396 kilometers away"
"Kumarakom, India",5,$387,May 22 – 28,304 hectares
"Turku, Finland",New,"$1,220 ",Jul 1 – 6,6.5 hectares
"Cẩm Phả, Vietnam",5,$56,May 20 – 27,"1,774 kilometers away"
"Kaş, Turkey",New,$461,May 21 – 27,"5,925 kilometers away"
"Kisoro, Uganda",4.93,$68,May 20 – 25,1.1 hectares
"Seberut Barat Daya, Indonesia",4.94,$230,May 20 – 27,"2,998 kilometers away"
"Raseborg, Finland",4.95,$120,Sep 4 – 11,"6,462 kilometers away"
"Kollam, India",4.91,$13,May 21 – 26,"8,000 square meters"
"ศาลาด่าน, Thailand",4.83,$26,May 21 – 26,"2,010 kilometers away"
"Malé Atoll, Maldives",4.91,$138,May 21 – 26,"2,810 kilometers away"
"Inkoo, Finland",5,$325,Aug 7 – 14,"6,443 kilometers away"
"Anambas, Indonesia",5,$169,May 20 – 25,"2,844 kilometers away"
"El Nido, Philippines",5,$49,May 21 – 28,82 hectares
"Imatra, Finland",5,$738,Jul 1 – 6,"6,208 kilometers away"
"Noonu Atoll, Maldives",4.93,$616,May 20 – 27,"2,717 kilometers away"
"Seberut Barat Daya, Indonesia",5,$230,May 20 – 27,"2,974 kilometers away"
"Kollam, India",4.82,$397,May 20 – 27,"8,000 square meters"
"Kepulauan Anambas Regency, Indonesia",5,$160,May 23 – 30,40 hectares
"Orak Island, Turkey",5,"$12,327 ",May 20 – 27,"6,096 kilometers away"
"Schoinousa, Greece",4.96,$185,Jun 1 – 6,"6,280 kilometers away"
"Pal Matak, Indonesia",4.88,$242,May 20 – 27,"2,836 kilometers away"
"Seberut Barat Daya, Indonesia",4.88,$230,May 20 – 27,"2,998 kilometers away"
"Kokkola, Finland",4.67,$99,May 23 – 28,"6,537 kilometers away"
"Matak, Indonesia",4.97,$101,May 20 – 25,7 hectares
"Dagda, Latvia",5,$99,May 20 – 27,2.8 hectares
"Darocotan Island, Philippines",5,$74,May 26 – 31,80 hectares
"Matak, Indonesia",5,$169,May 20 – 25,7 hectares
"Ii, Finland",5,$247,May 20 – 25,"6,475 kilometers away"
"Kudat, Malaysia",5,$181,May 20 – 27,"3,393 kilometers away"
"Bungus Teluk Kabung, Indonesia",4.86,"$1,312 ",May 20 – 25,"2,957 kilometers away"
"El Nido, Philippines",New,$74,May 26 – 31,78 hectares
"Hailuoto, Finland",5,$62,May 22 – 27,"6,492 kilometers away"
"Kepulauan Anambas Regency, Indonesia",4.88,$237,May 23 – 30,"10,840 hectares"
"Narra, Philippines",4.87,$388,May 27 – Jun 1,"3,389 kilometers away"
"Matak, Indonesia",4.99,$101,May 20 – 25,7 hectares
"Malören, Sweden",5,$260,May 19 – 24,"6,559 kilometers away"
"A. Muang, Thailand",4.75,$36,May 21 – 28,"1,964 kilometers away"
"Narra, Philippines",4.94,$473,May 27 – Jun 2,"3,389 kilometers away"
"Seberut Barat Daya, Indonesia",4.95,$230,May 20 – 27,"2,998 kilometers away"
"Surat Thani, Thailand",4.96,$358,Jun 4 – 9,"1,885 kilometers away"
"Kalayaan, Philippines",4.98,$143,May 21 – 26,"3,428 kilometers away"
"Cavinti, Philippines",4.89,$73,May 21 – 28,3.7 hectares
"Semporna, Malaysia",4.89,$108,Jun 6 – 11,"3,705 kilometers away"
